Position,Track Name,Artist,Streams,Date,Region,1dayago,pos-1,-1top10,2dayago,pos-2,-2top10,3dayago,pos-3,-3top10,4dayago,pos-4,-4top10,5dayago,pos-5,-5top10,6dayago,pos-6,-6top10,7dayago,pos-7,-7top10,currtop10
3,Starboy,The Weeknd,3127938,2017-01-08,global,3460752,3,yes,3590301,3,yes,3579206,1,yes,3619247,1,yes,3563076,1,yes,3342769,1,yes,3135625,1,yes,yes
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2802693,2017-01-08,global,3083514,4,yes,3025226,5,yes,2990199,3,yes,2977555,3,yes,2892451,3,yes,2726981,3,yes,2356604,4,yes,yes
5,Closer,The Chainsmokers,2697878,2017-01-08,global,2998374,5,yes,3101351,4,yes,3202540,2,yes,3224594,2,yes,3175128,2,yes,3019058,2,yes,3015525,2,yes,yes
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2658820,2017-01-08,global,2795586,6,yes,2897927,6,yes,2898180,4,yes,2878313,4,yes,2710150,4,yes,2329762,6,yes,1857252,12,no,yes
7,Say You Won't Let Go,James Arthur,2371671,2017-01-08,global,2428183,10,yes,2477169,10,yes,2565362,7,yes,2555826,7,yes,2495021,7,yes,2263324,7,yes,1812335,13,no,yes
8,Don't Wanna Know,Maroon 5,2339709,2017-01-08,global,2571643,7,yes,2567090,7,yes,2573317,6,yes,2599826,6,yes,2565521,6,yes,2362830,5,yes,2107137,8,yes,yes
9,Fake Love,Drake,2288806,2017-01-08,global,2440886,9,yes,2481652,9,yes,2423689,9,yes,2427406,9,yes,2402911,8,yes,2241455,8,yes,2137437,6,yes,yes
10,Let Me Love You,DJ Snake,2197149,2017-01-08,global,2477080,8,yes,2565040,8,yes,2677274,5,yes,2680096,5,yes,2663869,5,yes,2524666,4,yes,2545384,3,yes,yes
11,I Feel It Coming,The Weeknd,2183331,2017-01-08,global,2411921,11,no,2472372,11,no,2470422,8,yes,2441812,8,yes,2338067,9,yes,2135229,10,yes,1949575,10,yes,no
12,24K Magic,Bruno Mars,2070404,2017-01-08,global,2323388,12,no,2343189,12,no,2295803,10,yes,2315382,10,yes,2280795,10,yes,2152569,9,yes,2111599,7,yes,no
13,Black Beatles,Rae Sremmurd,1934944,2017-01-08,global,2194177,13,no,2234965,13,no,2166093,11,no,2183966,11,no,2178247,11,no,2114909,11,no,2075732,9,yes,no
14,Call On Me - Ryan Riback Extended Remix,Starley,1912818,2017-01-08,global,2093312,15,no,2108340,14,no,2091684,12,no,2058218,12,no,1961999,14,no,1810528,15,no,1507320,18,no,no
15,Chantaje,Shakira,1897499,2017-01-08,global,2125156,14,no,2069444,15,no,2085940,13,no,2042231,13,no,1990513,13,no,1866507,13,no,1893214,11,no,no
16,Bad and Boujee (feat. Lil Uzi Vert),Migos,1746914,2017-01-08,global,1899936,18,no,1939642,17,no,1881634,18,no,1871126,18,no,1841773,17,no,1676078,17,no,1801707,14,no,no
17,Just Hold On,Steve Aoki,1742116,2017-01-08,global,1887106,19,no,1870908,20,no,1910581,17,no,1888869,17,no,1807536,18,no,1638543,19,no,1375005,22,no,no
18,One Dance,Drake,1703538,2017-01-08,global,1914426,17,no,1930010,18,no,1948976,15,no,1966480,15,no,2009154,12,no,1989817,12,no,2259887,5,yes,no
19,In the Name of Love,Martin Garrix,1670391,2017-01-08,global,1951364,16,no,2004765,16,no,1987716,14,no,1983348,14,no,1937665,15,no,1808723,16,no,1647944,16,no,no
20,Bad Things (with Camila Cabello),Machine Gun Kelly,1667236,2017-01-08,global,1730739,22,no,1769495,22,no,1763077,20,no,1765071,20,no,1689239,21,no,1478772,22,no,1257334,25,no,no
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1663606,2017-01-08,global,1851331,20,no,1915819,19,no,1921364,16,no,1936122,16,no,1919477,16,no,1830616,14,no,1731191,15,no,no
22,Side To Side,Ariana Grande,1637378,2017-01-08,global,1813605,21,no,1856328,21,no,1849349,19,no,1850372,19,no,1767049,19,no,1645732,18,no,1527676,17,no,no
23,Mercy,Shawn Mendes,1498777,2017-01-08,global,1583771,23,no,1632041,23,no,1679826,21,no,1705070,22,no,1653440,22,no,1530922,21,no,1215550,29,no,no
24,All We Know,The Chainsmokers,1425231,2017-01-08,global,1541275,24,no,1601067,24,no,1607374,22,no,1616547,23,no,1561672,23,no,1438481,23,no,1238138,28,no,no
25,Starving,Hailee Steinfeld,1373097,2017-01-08,global,1480406,26,no,1566957,25,no,1597095,23,no,1713561,21,no,1712546,20,no,1547351,20,no,1338596,24,no,no
26,My Way,Calvin Harris,1331114,2017-01-08,global,1506554,25,no,1546284,26,no,1507960,24,no,1517745,24,no,1493736,24,no,1427123,24,no,1341827,23,no,no
27,Heathens,Twenty One Pilots,1311680,2017-01-08,global,1437591,27,no,1483106,27,no,1491085,25,no,1487556,25,no,1478295,25,no,1403117,26,no,1255839,26,no,no
28,All Night,The Vamps,1276266,2017-01-08,global,1359300,29,no,1366915,30,no,1406792,28,no,1399632,28,no,1333910,29,no,1201859,30,no,1003894,38,no,no
29,Scars To Your Beautiful,Alessia Cara,1253173,2017-01-08,global,1337969,31,no,1375531,29,no,1411688,27,no,1418113,27,no,1378110,28,no,1264378,29,no,1031598,36,no,no
30,Treat You Better,Shawn Mendes,1241574,2017-01-08,global,1363274,28,no,1385283,28,no,1432104,26,no,1450273,26,no,1467423,26,no,1404053,25,no,1409430,21,no,no
31,I Would Like,Zara Larsson,1240521,2017-01-08,global,1351504,30,no,1330073,32,no,1359200,30,no,1330241,31,no,1257416,34,no,1126983,35,no,892922,48,no,no
32,Now and Later,Sage The Gemini,1224768,2017-01-08,global,1324442,35,no,1318417,33,no,1333151,33,no,1326998,32,no,1277848,32,no,1172766,32,no,959972,42,no,no
33,Shed a Light,Robin Schulz,1202866,2017-01-08,global,1326697,33,no,1316213,34,no,1344230,32,no,1308269,34,no,1236765,35,no,1098430,40,no,868259,50,no,no
34,Love Me Now,John Legend,1198379,2017-01-08,global,1278011,38,no,1304953,36,no,1346937,31,no,1359778,30,no,1308910,30,no,1190899,31,no,950832,43,no,no
35,Hear Me Now,Alok,1189979,2017-01-08,global,1325681,34,no,1312991,35,no,1330783,34,no,1290648,35,no,1188910,38,no,1060502,42,no,873494,49,no,no
36,Don't Let Me Down,The Chainsmokers,1188340,2017-01-08,global,1334125,32,no,1354741,31,no,1380865,29,no,1399606,29,no,1422968,27,no,1373805,27,no,1438471,20,no,no
37,By Your Side,Jonas Blue,1178558,2017-01-08,global,1285756,37,no,1274284,37,no,1306612,35,no,1310340,33,no,1284803,31,no,1154877,34,no,971615,39,no,no
38,Reggaetón Lento (Bailemos),CNCO,1168508,2017-01-08,global,1307569,36,no,1252160,39,no,1249233,36,no,1208203,38,no,1191805,37,no,1116627,38,no,1164530,30,no,no
41,Alone,Alan Walker,1092498,2017-01-08,global,1218111,39,no,1212713,41,no,1217086,38,no,1182354,40,no,1151007,41,no,1122212,37,no,936813,45,no,no
42,The Mack,Nevada,1081113,2017-01-08,global,1217616,40,no,1258202,38,no,1244109,37,no,1263287,36,no,1224150,36,no,1122559,36,no,949200,44,no,no
43,Caroline,Aminé,1057720,2017-01-08,global,1113734,45,no,1135396,45,no,1085094,44,no,1075120,44,no,1058375,44,no,951699,47,no,963128,41,no,no
44,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1043194,2017-01-08,global,1200371,41,no,1214509,40,no,1208183,39,no,1224732,37,no,1267550,33,no,1274760,28,no,1480601,19,no,no
45,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1027925,2017-01-08,global,1119953,44,no,1137600,44,no,1171411,41,no,1190610,39,no,1184008,40,no,1108074,39,no,971342,40,no,no
46,Broccoli (feat. Lil Yachty),DRAM,1011529,2017-01-08,global,1088471,48,no,1101242,46,no,1074887,45,no,1039292,46,no,1041508,46,no,993906,44,no,1149938,31,no,no
47,Safari,J Balvin,972292,2017-01-08,global,1092588,47,no,1049768,50,no,1068229,46,no,1045751,45,no,1044810,45,no,1000058,43,no,1112032,33,no,no
48,Cheap Thrills,Sia,971230,2017-01-08,global,1103113,46,no,1151762,43,no,1137794,42,no,1161580,42,no,1187880,39,no,1167833,33,no,1238279,27,no,no
49,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,939812,2017-01-08,global,1065440,49,no,1088545,47,no,1093219,43,no,1086882,43,no,1093336,42,no,1062554,41,no,1112074,32,no,no
3,Starboy,The Weeknd,3364512,2017-01-09,global,3127938,3,yes,3460752,3,yes,3590301,3,yes,3579206,1,yes,3619247,1,yes,3563076,1,yes,3342769,1,yes,yes
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3046633,2017-01-09,global,2802693,4,yes,3083514,4,yes,3025226,5,yes,2990199,3,yes,2977555,3,yes,2892451,3,yes,2726981,3,yes,yes
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3042565,2017-01-09,global,2658820,6,yes,2795586,6,yes,2897927,6,yes,2898180,4,yes,2878313,4,yes,2710150,4,yes,2329762,6,yes,yes
6,Closer,The Chainsmokers,2829337,2017-01-09,global,2697878,5,yes,2998374,5,yes,3101351,4,yes,3202540,2,yes,3224594,2,yes,3175128,2,yes,3019058,2,yes,yes
7,Say You Won't Let Go,James Arthur,2568220,2017-01-09,global,2371671,7,yes,2428183,10,yes,2477169,10,yes,2565362,7,yes,2555826,7,yes,2495021,7,yes,2263324,7,yes,yes
8,Don't Wanna Know,Maroon 5,2489412,2017-01-09,global,2339709,8,yes,2571643,7,yes,2567090,7,yes,2573317,6,yes,2599826,6,yes,2565521,6,yes,2362830,5,yes,yes
9,I Feel It Coming,The Weeknd,2432378,2017-01-09,global,2183331,11,no,2411921,11,no,2472372,11,no,2470422,8,yes,2441812,8,yes,2338067,9,yes,2135229,10,yes,yes
10,Fake Love,Drake,2420381,2017-01-09,global,2288806,9,yes,2440886,9,yes,2481652,9,yes,2423689,9,yes,2427406,9,yes,2402911,8,yes,2241455,8,yes,yes
11,Let Me Love You,DJ Snake,2285129,2017-01-09,global,2197149,10,yes,2477080,8,yes,2565040,8,yes,2677274,5,yes,2680096,5,yes,2663869,5,yes,2524666,4,yes,no
12,Bad and Boujee (feat. Lil Uzi Vert),Migos,2189210,2017-01-09,global,1746914,16,no,1899936,18,no,1939642,17,no,1881634,18,no,1871126,18,no,1841773,17,no,1676078,17,no,no
13,24K Magic,Bruno Mars,2173519,2017-01-09,global,2070404,12,no,2323388,12,no,2343189,12,no,2295803,10,yes,2315382,10,yes,2280795,10,yes,2152569,9,yes,no
14,Call On Me - Ryan Riback Extended Remix,Starley,2107060,2017-01-09,global,1912818,14,no,2093312,15,no,2108340,14,no,2091684,12,no,2058218,12,no,1961999,14,no,1810528,15,no,no
15,Chantaje,Shakira,1991796,2017-01-09,global,1897499,15,no,2125156,14,no,2069444,15,no,2085940,13,no,2042231,13,no,1990513,13,no,1866507,13,no,no
16,Black Beatles,Rae Sremmurd,1979892,2017-01-09,global,1934944,13,no,2194177,13,no,2234965,13,no,2166093,11,no,2183966,11,no,2178247,11,no,2114909,11,no,no
17,Just Hold On,Steve Aoki,1942906,2017-01-09,global,1742116,17,no,1887106,19,no,1870908,20,no,1910581,17,no,1888869,17,no,1807536,18,no,1638543,19,no,no
18,Bad Things (with Camila Cabello),Machine Gun Kelly,1879294,2017-01-09,global,1667236,20,no,1730739,22,no,1769495,22,no,1763077,20,no,1765071,20,no,1689239,21,no,1478772,22,no,no
19,Side To Side,Ariana Grande,1744111,2017-01-09,global,1637378,22,no,1813605,21,no,1856328,21,no,1849349,19,no,1850372,19,no,1767049,19,no,1645732,18,no,no
20,One Dance,Drake,1742848,2017-01-09,global,1703538,18,no,1914426,17,no,1930010,18,no,1948976,15,no,1966480,15,no,2009154,12,no,1989817,12,no,no
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1737463,2017-01-09,global,1663606,21,no,1851331,20,no,1915819,19,no,1921364,16,no,1936122,16,no,1919477,16,no,1830616,14,no,no
22,In the Name of Love,Martin Garrix,1722088,2017-01-09,global,1670391,19,no,1951364,16,no,2004765,16,no,1987716,14,no,1983348,14,no,1937665,15,no,1808723,16,no,no
23,Mercy,Shawn Mendes,1613336,2017-01-09,global,1498777,23,no,1583771,23,no,1632041,23,no,1679826,21,no,1705070,22,no,1653440,22,no,1530922,21,no,no
24,All We Know,The Chainsmokers,1551360,2017-01-09,global,1425231,24,no,1541275,24,no,1601067,24,no,1607374,22,no,1616547,23,no,1561672,23,no,1438481,23,no,no
25,Starving,Hailee Steinfeld,1467605,2017-01-09,global,1373097,25,no,1480406,26,no,1566957,25,no,1597095,23,no,1713561,21,no,1712546,20,no,1547351,20,no,no
26,My Way,Calvin Harris,1419495,2017-01-09,global,1331114,26,no,1506554,25,no,1546284,26,no,1507960,24,no,1517745,24,no,1493736,24,no,1427123,24,no,no
27,All Night,The Vamps,1404529,2017-01-09,global,1276266,28,no,1359300,29,no,1366915,30,no,1406792,28,no,1399632,28,no,1333910,29,no,1201859,30,no,no
28,Scars To Your Beautiful,Alessia Cara,1363849,2017-01-09,global,1253173,29,no,1337969,31,no,1375531,29,no,1411688,27,no,1418113,27,no,1378110,28,no,1264378,29,no,no
29,I Would Like,Zara Larsson,1362547,2017-01-09,global,1240521,31,no,1351504,30,no,1330073,32,no,1359200,30,no,1330241,31,no,1257416,34,no,1126983,35,no,no
30,Shed a Light,Robin Schulz,1362252,2017-01-09,global,1202866,33,no,1326697,33,no,1316213,34,no,1344230,32,no,1308269,34,no,1236765,35,no,1098430,40,no,no
31,Heathens,Twenty One Pilots,1358268,2017-01-09,global,1311680,27,no,1437591,27,no,1483106,27,no,1491085,25,no,1487556,25,no,1478295,25,no,1403117,26,no,no
32,Now and Later,Sage The Gemini,1340359,2017-01-09,global,1224768,32,no,1324442,35,no,1318417,33,no,1333151,33,no,1326998,32,no,1277848,32,no,1172766,32,no,no
33,Love Me Now,John Legend,1327941,2017-01-09,global,1198379,34,no,1278011,38,no,1304953,36,no,1346937,31,no,1359778,30,no,1308910,30,no,1190899,31,no,no
34,Hear Me Now,Alok,1321868,2017-01-09,global,1189979,35,no,1325681,34,no,1312991,35,no,1330783,34,no,1290648,35,no,1188910,38,no,1060502,42,no,no
35,"How Far I'll Go - From ""Moana""",Alessia Cara,1320688,2017-01-09,global,1144958,39,no,1166820,42,no,1182473,42,no,1196002,40,no,1175262,41,no,1085103,43,no,908300,48,no,no
36,By Your Side,Jonas Blue,1296000,2017-01-09,global,1178558,37,no,1285756,37,no,1274284,37,no,1306612,35,no,1310340,33,no,1284803,31,no,1154877,34,no,no
37,Treat You Better,Shawn Mendes,1294909,2017-01-09,global,1241574,30,no,1363274,28,no,1385283,28,no,1432104,26,no,1450273,26,no,1467423,26,no,1404053,25,no,no
38,Don't Let Me Down,The Chainsmokers,1239368,2017-01-09,global,1188340,36,no,1334125,32,no,1354741,31,no,1380865,29,no,1399606,29,no,1422968,27,no,1373805,27,no,no
39,Reggaetón Lento (Bailemos),CNCO,1202414,2017-01-09,global,1168508,38,no,1307569,36,no,1252160,39,no,1249233,36,no,1208203,38,no,1191805,37,no,1116627,38,no,no
41,Alone,Alan Walker,1180221,2017-01-09,global,1092498,41,no,1218111,39,no,1212713,41,no,1217086,38,no,1182354,40,no,1151007,41,no,1122212,37,no,no
42,The Mack,Nevada,1146542,2017-01-09,global,1081113,42,no,1217616,40,no,1258202,38,no,1244109,37,no,1263287,36,no,1224150,36,no,1122559,36,no,no
43,Caroline,Aminé,1113473,2017-01-09,global,1057720,43,no,1113734,45,no,1135396,45,no,1085094,44,no,1075120,44,no,1058375,44,no,951699,47,no,no
44,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1089013,2017-01-09,global,1027925,45,no,1119953,44,no,1137600,44,no,1171411,41,no,1190610,39,no,1184008,40,no,1108074,39,no,no
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1071048,2017-01-09,global,1043194,44,no,1200371,41,no,1214509,40,no,1208183,39,no,1224732,37,no,1267550,33,no,1274760,28,no,no
47,Cheap Thrills,Sia,1017053,2017-01-09,global,971230,48,no,1103113,46,no,1151762,43,no,1137794,42,no,1161580,42,no,1187880,39,no,1167833,33,no,no
48,Broccoli (feat. Lil Yachty),DRAM,1001889,2017-01-09,global,1011529,46,no,1088471,48,no,1101242,46,no,1074887,45,no,1039292,46,no,1041508,46,no,993906,44,no,no
50,Safari,J Balvin,996211,2017-01-09,global,972292,47,no,1092588,47,no,1049768,50,no,1068229,46,no,1045751,45,no,1044810,45,no,1000058,43,no,no
3,Starboy,The Weeknd,3424457,2017-01-10,global,3364512,3,yes,3127938,3,yes,3460752,3,yes,3590301,3,yes,3579206,1,yes,3619247,1,yes,3563076,1,yes,yes
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3157514,2017-01-10,global,3042565,5,yes,2658820,6,yes,2795586,6,yes,2897927,6,yes,2898180,4,yes,2878313,4,yes,2710150,4,yes,yes
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3094116,2017-01-10,global,3046633,4,yes,2802693,4,yes,3083514,4,yes,3025226,5,yes,2990199,3,yes,2977555,3,yes,2892451,3,yes,yes
6,Closer,The Chainsmokers,2880750,2017-01-10,global,2829337,6,yes,2697878,5,yes,2998374,5,yes,3101351,4,yes,3202540,2,yes,3224594,2,yes,3175128,2,yes,yes
7,Say You Won't Let Go,James Arthur,2636733,2017-01-10,global,2568220,7,yes,2371671,7,yes,2428183,10,yes,2477169,10,yes,2565362,7,yes,2555826,7,yes,2495021,7,yes,yes
8,Don't Wanna Know,Maroon 5,2559976,2017-01-10,global,2489412,8,yes,2339709,8,yes,2571643,7,yes,2567090,7,yes,2573317,6,yes,2599826,6,yes,2565521,6,yes,yes
9,I Feel It Coming,The Weeknd,2512007,2017-01-10,global,2432378,9,yes,2183331,11,no,2411921,11,no,2472372,11,no,2470422,8,yes,2441812,8,yes,2338067,9,yes,yes
10,Fake Love,Drake,2462919,2017-01-10,global,2420381,10,yes,2288806,9,yes,2440886,9,yes,2481652,9,yes,2423689,9,yes,2427406,9,yes,2402911,8,yes,yes
11,Bad and Boujee (feat. Lil Uzi Vert),Migos,2361306,2017-01-10,global,2189210,12,no,1746914,16,no,1899936,18,no,1939642,17,no,1881634,18,no,1871126,18,no,1841773,17,no,no
12,Let Me Love You,DJ Snake,2321582,2017-01-10,global,2285129,11,no,2197149,10,yes,2477080,8,yes,2565040,8,yes,2677274,5,yes,2680096,5,yes,2663869,5,yes,no
13,24K Magic,Bruno Mars,2204722,2017-01-10,global,2173519,13,no,2070404,12,no,2323388,12,no,2343189,12,no,2295803,10,yes,2315382,10,yes,2280795,10,yes,no
14,Call On Me - Ryan Riback Extended Remix,Starley,2148416,2017-01-10,global,2107060,14,no,1912818,14,no,2093312,15,no,2108340,14,no,2091684,12,no,2058218,12,no,1961999,14,no,no
15,Chantaje,Shakira,2033400,2017-01-10,global,1991796,15,no,1897499,15,no,2125156,14,no,2069444,15,no,2085940,13,no,2042231,13,no,1990513,13,no,no
16,Just Hold On,Steve Aoki,2025561,2017-01-10,global,1942906,17,no,1742116,17,no,1887106,19,no,1870908,20,no,1910581,17,no,1888869,17,no,1807536,18,no,no
17,Black Beatles,Rae Sremmurd,1989506,2017-01-10,global,1979892,16,no,1934944,13,no,2194177,13,no,2234965,13,no,2166093,11,no,2183966,11,no,2178247,11,no,no
18,Bad Things (with Camila Cabello),Machine Gun Kelly,1951280,2017-01-10,global,1879294,18,no,1667236,20,no,1730739,22,no,1769495,22,no,1763077,20,no,1765071,20,no,1689239,21,no,no
19,Side To Side,Ariana Grande,1791497,2017-01-10,global,1744111,19,no,1637378,22,no,1813605,21,no,1856328,21,no,1849349,19,no,1850372,19,no,1767049,19,no,no
20,One Dance,Drake,1771930,2017-01-10,global,1742848,20,no,1703538,18,no,1914426,17,no,1930010,18,no,1948976,15,no,1966480,15,no,2009154,12,no,no
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1768821,2017-01-10,global,1737463,21,no,1663606,21,no,1851331,20,no,1915819,19,no,1921364,16,no,1936122,16,no,1919477,16,no,no
22,In the Name of Love,Martin Garrix,1739773,2017-01-10,global,1722088,22,no,1670391,19,no,1951364,16,no,2004765,16,no,1987716,14,no,1983348,14,no,1937665,15,no,no
23,Mercy,Shawn Mendes,1661121,2017-01-10,global,1613336,23,no,1498777,23,no,1583771,23,no,1632041,23,no,1679826,21,no,1705070,22,no,1653440,22,no,no
24,All We Know,The Chainsmokers,1571707,2017-01-10,global,1551360,24,no,1425231,24,no,1541275,24,no,1601067,24,no,1607374,22,no,1616547,23,no,1561672,23,no,no
25,Starving,Hailee Steinfeld,1503644,2017-01-10,global,1467605,25,no,1373097,25,no,1480406,26,no,1566957,25,no,1597095,23,no,1713561,21,no,1712546,20,no,no
26,All Night,The Vamps,1456278,2017-01-10,global,1404529,27,no,1276266,28,no,1359300,29,no,1366915,30,no,1406792,28,no,1399632,28,no,1333910,29,no,no
27,My Way,Calvin Harris,1423721,2017-01-10,global,1419495,26,no,1331114,26,no,1506554,25,no,1546284,26,no,1507960,24,no,1517745,24,no,1493736,24,no,no
28,I Would Like,Zara Larsson,1418611,2017-01-10,global,1362547,29,no,1240521,31,no,1351504,30,no,1330073,32,no,1359200,30,no,1330241,31,no,1257416,34,no,no
29,Shed a Light,Robin Schulz,1411099,2017-01-10,global,1362252,30,no,1202866,33,no,1326697,33,no,1316213,34,no,1344230,32,no,1308269,34,no,1236765,35,no,no
30,Scars To Your Beautiful,Alessia Cara,1404044,2017-01-10,global,1363849,28,no,1253173,29,no,1337969,31,no,1375531,29,no,1411688,27,no,1418113,27,no,1378110,28,no,no
31,"How Far I'll Go - From ""Moana""",Alessia Cara,1386964,2017-01-10,global,1320688,35,no,1144958,39,no,1166820,42,no,1182473,42,no,1196002,40,no,1175262,41,no,1085103,43,no,no
32,Now and Later,Sage The Gemini,1380826,2017-01-10,global,1340359,32,no,1224768,32,no,1324442,35,no,1318417,33,no,1333151,33,no,1326998,32,no,1277848,32,no,no
33,Heathens,Twenty One Pilots,1376080,2017-01-10,global,1358268,31,no,1311680,27,no,1437591,27,no,1483106,27,no,1491085,25,no,1487556,25,no,1478295,25,no,no
34,Love Me Now,John Legend,1364016,2017-01-10,global,1327941,33,no,1198379,34,no,1278011,38,no,1304953,36,no,1346937,31,no,1359778,30,no,1308910,30,no,no
35,Hear Me Now,Alok,1354908,2017-01-10,global,1321868,34,no,1189979,35,no,1325681,34,no,1312991,35,no,1330783,34,no,1290648,35,no,1188910,38,no,no
36,By Your Side,Jonas Blue,1340982,2017-01-10,global,1296000,36,no,1178558,37,no,1285756,37,no,1274284,37,no,1306612,35,no,1310340,33,no,1284803,31,no,no
37,Treat You Better,Shawn Mendes,1318833,2017-01-10,global,1294909,37,no,1241574,30,no,1363274,28,no,1385283,28,no,1432104,26,no,1450273,26,no,1467423,26,no,no
38,Don't Let Me Down,The Chainsmokers,1247233,2017-01-10,global,1239368,38,no,1188340,36,no,1334125,32,no,1354741,31,no,1380865,29,no,1399606,29,no,1422968,27,no,no
39,Reggaetón Lento (Bailemos),CNCO,1232937,2017-01-10,global,1202414,39,no,1168508,38,no,1307569,36,no,1252160,39,no,1249233,36,no,1208203,38,no,1191805,37,no,no
40,Alone,Alan Walker,1180254,2017-01-10,global,1180221,41,no,1092498,41,no,1218111,39,no,1212713,41,no,1217086,38,no,1182354,40,no,1151007,41,no,no
42,Caroline,Aminé,1154976,2017-01-10,global,1113473,43,no,1057720,43,no,1113734,45,no,1135396,45,no,1085094,44,no,1075120,44,no,1058375,44,no,no
44,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1106365,2017-01-10,global,1089013,44,no,1027925,45,no,1119953,44,no,1137600,44,no,1171411,41,no,1190610,39,no,1184008,40,no,no
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1095775,2017-01-10,global,1071048,45,no,1043194,44,no,1200371,41,no,1214509,40,no,1208183,39,no,1224732,37,no,1267550,33,no,no
46,The Mack,Nevada,1067215,2017-01-10,global,1146542,42,no,1081113,42,no,1217616,40,no,1258202,38,no,1244109,37,no,1263287,36,no,1224150,36,no,no
48,Cheap Thrills,Sia,1049335,2017-01-10,global,1017053,47,no,971230,48,no,1103113,46,no,1151762,43,no,1137794,42,no,1161580,42,no,1187880,39,no,no
49,Broccoli (feat. Lil Yachty),DRAM,1030767,2017-01-10,global,1001889,48,no,1011529,46,no,1088471,48,no,1101242,46,no,1074887,45,no,1039292,46,no,1041508,46,no,no
50,Safari,J Balvin,1018770,2017-01-10,global,996211,50,no,972292,47,no,1092588,47,no,1049768,50,no,1068229,46,no,1045751,45,no,1044810,45,no,no
3,Starboy,The Weeknd,3523086,2017-01-11,global,3424457,3,yes,3364512,3,yes,3127938,3,yes,3460752,3,yes,3590301,3,yes,3579206,1,yes,3619247,1,yes,yes
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3247065,2017-01-11,global,3157514,4,yes,3042565,5,yes,2658820,6,yes,2795586,6,yes,2897927,6,yes,2898180,4,yes,2878313,4,yes,yes
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3192419,2017-01-11,global,3094116,5,yes,3046633,4,yes,2802693,4,yes,3083514,4,yes,3025226,5,yes,2990199,3,yes,2977555,3,yes,yes
6,Closer,The Chainsmokers,2954519,2017-01-11,global,2880750,6,yes,2829337,6,yes,2697878,5,yes,2998374,5,yes,3101351,4,yes,3202540,2,yes,3224594,2,yes,yes
7,Say You Won't Let Go,James Arthur,2691922,2017-01-11,global,2636733,7,yes,2568220,7,yes,2371671,7,yes,2428183,10,yes,2477169,10,yes,2565362,7,yes,2555826,7,yes,yes
8,Don't Wanna Know,Maroon 5,2630434,2017-01-11,global,2559976,8,yes,2489412,8,yes,2339709,8,yes,2571643,7,yes,2567090,7,yes,2573317,6,yes,2599826,6,yes,yes
9,I Feel It Coming,The Weeknd,2600510,2017-01-11,global,2512007,9,yes,2432378,9,yes,2183331,11,no,2411921,11,no,2472372,11,no,2470422,8,yes,2441812,8,yes,yes
10,Fake Love,Drake,2545030,2017-01-11,global,2462919,10,yes,2420381,10,yes,2288806,9,yes,2440886,9,yes,2481652,9,yes,2423689,9,yes,2427406,9,yes,yes
11,Bad and Boujee (feat. Lil Uzi Vert),Migos,2436204,2017-01-11,global,2361306,11,no,2189210,12,no,1746914,16,no,1899936,18,no,1939642,17,no,1881634,18,no,1871126,18,no,no
12,Let Me Love You,DJ Snake,2361922,2017-01-11,global,2321582,12,no,2285129,11,no,2197149,10,yes,2477080,8,yes,2565040,8,yes,2677274,5,yes,2680096,5,yes,no
13,24K Magic,Bruno Mars,2264155,2017-01-11,global,2204722,13,no,2173519,13,no,2070404,12,no,2323388,12,no,2343189,12,no,2295803,10,yes,2315382,10,yes,no
14,Call On Me - Ryan Riback Extended Remix,Starley,2210865,2017-01-11,global,2148416,14,no,2107060,14,no,1912818,14,no,2093312,15,no,2108340,14,no,2091684,12,no,2058218,12,no,no
15,Chantaje,Shakira,2115560,2017-01-11,global,2033400,15,no,1991796,15,no,1897499,15,no,2125156,14,no,2069444,15,no,2085940,13,no,2042231,13,no,no
